time,frame_id,force.x,force.y,force.z,torque.x,torque.y,torque.z
22:05:03,robotiq_force_torque_frame_id,3.73,-0.07,-0.58,0.092,-0.129,-0.038
22:05:04,robotiq_force_torque_frame_id,3.73,-0.19,-0.33,0.07,-0.137,-0.049
22:05:04,robotiq_force_torque_frame_id,2.32,-1.0,-0.9,0.083,-0.135,-0.071
22:05:04,robotiq_force_torque_frame_id,1.29,-0.61,-0.74,0.076,-0.125,-0.065
22:05:04,robotiq_force_torque_frame_id,2.52,-0.17,-0.84,0.078,-0.12,-0.055
22:05:04,robotiq_force_torque_frame_id,1.8,-0.94,-0.37,0.097,-0.119,-0.075
22:05:04,robotiq_force_torque_frame_id,1.13,-0.9,-0.11,0.064,-0.125,-0.075
22:05:04,robotiq_force_torque_frame_id,1.65,-2.63,-0.35,0.064,-0.123,-0.074
22:05:04,robotiq_force_torque_frame_id,2.03,-1.91,-0.6,0.078,-0.134,-0.055
22:05:04,robotiq_force_torque_frame_id,1.25,-0.6,-0.44,0.082,-0.126,-0.025
22:05:04,robotiq_force_torque_frame_id,1.32,-1.71,-0.53,0.07,-0.123,-0.067
22:05:05,robotiq_force_torque_frame_id,0.74,-1.62,-0.82,0.073,-0.104,-0.057
22:05:05,robotiq_force_torque_frame_id,1.89,-0.76,-0.03,0.064,-0.117,-0.031
22:05:05,robotiq_force_torque_frame_id,1.37,-2.55,-1.18,0.068,-0.121,-0.057
22:05:05,robotiq_force_torque_frame_id,2.46,-1.06,-0.93,0.076,-0.127,-0.029
22:05:05,robotiq_force_torque_frame_id,0.93,0.32,-1.13,0.065,-0.145,-0.037
22:05:05,robotiq_force_torque_frame_id,1.11,-0.97,-0.79,0.071,-0.113,-0.047
22:05:05,robotiq_force_torque_frame_id,1.56,0.46,-1.13,0.073,-0.112,-0.021
22:05:05,robotiq_force_torque_frame_id,1.67,-0.99,-0.9,0.062,-0.119,-0.028
22:05:05,robotiq_force_torque_frame_id,2.02,-1.73,-0.47,0.077,-0.115,-0.035
22:05:05,robotiq_force_torque_frame_id,1.01,-0.59,-1.05,0.064,-0.113,-0.05
22:05:06,robotiq_force_torque_frame_id,3.19,-1.51,-0.26,0.097,-0.122,-0.029
22:05:06,robotiq_force_torque_frame_id,3.72,-1.41,-0.42,0.072,-0.135,-0.047
22:05:06,robotiq_force_torque_frame_id,2.16,-0.68,0.0,0.073,-0.132,-0.042
22:05:06,robotiq_force_torque_frame_id,2.47,-0.11,-0.68,0.081,-0.116,-0.03
22:05:06,robotiq_force_torque_frame_id,2.67,-0.86,-0.19,0.081,-0.119,-0.034
22:05:06,robotiq_force_torque_frame_id,2.81,-1.19,-0.62,0.075,-0.129,-0.041
22:05:06,robotiq_force_torque_frame_id,1.99,-0.81,-0.72,0.07,-0.12,-0.064
22:05:06,robotiq_force_torque_frame_id,1.21,-0.37,-0.6,0.091,-0.125,-0.057
22:05:06,robotiq_force_torque_frame_id,-0.14,-1.56,-1.12,0.067,-0.115,-0.053
22:05:06,robotiq_force_torque_frame_id,1.01,0.17,-0.66,0.065,-0.111,-0.046
22:05:07,robotiq_force_torque_frame_id,2.38,-0.91,-0.77,0.072,-0.129,-0.025
22:05:07,robotiq_force_torque_frame_id,1.19,-1.52,-0.29,0.051,-0.114,-0.07
22:05:07,robotiq_force_torque_frame_id,2.43,-1.28,-0.9,0.079,-0.126,-0.042
22:05:07,robotiq_force_torque_frame_id,2.17,-1.39,-0.84,0.074,-0.105,-0.042
22:05:07,robotiq_force_torque_frame_id,2.18,-1.22,-0.94,0.069,-0.132,-0.061
22:05:07,robotiq_force_torque_frame_id,2.56,-1.75,-1.28,0.084,-0.13,-0.032
22:05:07,robotiq_force_torque_frame_id,2.66,-0.62,-0.92,0.08,-0.135,-0.033
22:05:07,robotiq_force_torque_frame_id,1.52,-1.08,-0.92,0.082,-0.123,-0.07
22:05:07,robotiq_force_torque_frame_id,1.77,-0.91,-0.49,0.092,-0.098,-0.044
22:05:07,robotiq_force_torque_frame_id,1.87,0.42,-0.99,0.082,-0.116,-0.042
22:05:08,robotiq_force_torque_frame_id,2.8,-0.28,-0.69,0.081,-0.114,-0.055
22:05:08,robotiq_force_torque_frame_id,2.64,-1.48,-0.78,0.084,-0.134,-0.065
22:05:08,robotiq_force_torque_frame_id,4.18,-0.22,-0.81,0.083,-0.121,-0.047
22:05:08,robotiq_force_torque_frame_id,2.43,-1.42,-0.97,0.077,-0.128,-0.057
22:05:08,robotiq_force_torque_frame_id,2.42,-1.65,-1.38,0.08,-0.127,-0.042
22:05:08,robotiq_force_torque_frame_id,2.3,-0.88,-1.29,0.094,-0.115,-0.027
22:05:08,robotiq_force_torque_frame_id,1.75,-0.61,-0.89,0.083,-0.15,-0.019
22:05:08,robotiq_force_torque_frame_id,2.51,-0.85,-1.26,0.075,-0.114,-0.019
22:05:08,robotiq_force_torque_frame_id,3.05,-1.15,-1.34,0.083,-0.113,-0.032
22:05:08,robotiq_force_torque_frame_id,3.18,0.62,-1.16,0.072,-0.107,-0.049
22:05:09,robotiq_force_torque_frame_id,2.77,-0.11,-1.0,0.076,-0.13,-0.041
22:05:09,robotiq_force_torque_frame_id,3.03,-1.0,-0.84,0.073,-0.109,-0.029
22:05:09,robotiq_force_torque_frame_id,3.2,-1.09,-1.1,0.085,-0.121,-0.039
22:05:09,robotiq_force_torque_frame_id,1.98,-0.55,-1.2,0.097,-0.121,-0.057
